date,open,close
2011-06-22,12189.71,12109.67
2011-06-21,12081.33,12190.01
2011-06-20,12004.28,12080.38
2011-06-17,11962.66,12004.36
2011-06-16,11896.13,11961.52
2011-06-15,12075.12,11897.27
2011-06-14,11951.38,12076.11
2011-06-13,11945.33,11952.97
2011-06-10,12124.17,11951.91
2011-06-09,12049.47,12124.36
2011-06-08,12066.27,12048.94
2011-06-07,12090.18,12070.81
2011-06-06,12151.19,12089.96
2011-06-03,12247.8,12151.26
2011-06-02,12289.61,12248.55
2011-06-01,12569.41,12290.14
2011-05-31,12443.4,12569.79
2011-05-27,12398.06,12441.58
2011-05-26,12391.63,12402.76
2011-05-25,12355.45,12394.66
2011-05-24,12381.57,12356.21
2011-05-23,12511.36,12381.26
2011-05-20,12604.72,12512.04
2011-05-19,12561.46,12605.32
2011-05-18,12471.78,12560.18
2011-05-17,12541.33,12479.58
2011-05-16,12594.77,12548.37
2011-05-13,12695.65,12595.75
2011-05-12,12629.96,12695.92
2011-05-11,12745.87,12630.03
2011-05-10,12685.13,12760.36
2011-05-09,12637.83,12684.68
2011-05-06,12580.76,12638.74
2011-05-05,12723.65,12584.17
2011-05-04,12806.29,12723.58
2011-05-03,12806.38,12807.51
2011-05-02,12810.16,12807.36
2011-04-29,12763.46,12810.54
2011-04-28,12689.9,12763.31
2011-04-27,12592.23,12690.96
2011-04-26,12480.86,12595.37
2011-04-25,12505.99,12479.88
2011-04-21,12453.62,12505.99
2011-04-20,12266.75,12453.54
2011-04-19,12201.44,12266.75
2011-04-18,12339.71,12201.59
2011-04-15,12285.45,12341.83
2011-04-14,12270.24,12285.15
2011-04-13,12263.65,12270.99
2011-04-12,12381.19,12263.58
2011-04-11,12380.43,12381.11
2011-04-08,12409.87,12380.05
2011-04-07,12426.45,12409.49
2011-04-06,12386.66,12426.75
2011-04-05,12402.08,12393.9
2011-04-04,12374.6,12400.03
2011-04-01,12321.02,12376.72
2011-03-31,12350.76,12319.73
2011-03-30,12280.07,12350.61
2011-03-29,12194.48,12279.01
2011-03-28,12221.19,12197.88
2011-03-25,12170.71,12220.59
2011-03-24,12087.54,12170.56
2011-03-23,12018.4,12086.02
2011-03-22,12036.37,12018.63
2011-03-21,11860.11,12036.53
2011-03-18,11777.23,11858.52
2011-03-17,11614.89,11774.59
2011-03-16,11854.2,11613.3
2011-03-15,11988.69,11855.42
2011-03-14,12042.13,11993.16
2011-03-11,11976.96,12044.4
2011-03-10,12211.43,11984.61
2011-03-09,12211.16,12213.09
2011-03-08,12085.87,12214.38
2011-03-07,12171.09,12090.03
2011-03-04,12258.88,12169.88
2011-03-03,12068.01,12258.2
2011-03-02,12057.34,12066.8
2011-03-01,12226.49,12058.02
2011-02-28,12130.45,12226.34
2011-02-25,12060.93,12130.45
2011-02-24,12104.56,12068.5
2011-02-23,12211.81,12105.78
2011-02-22,12389.74,12212.79
2011-02-18,12318.67,12391.25
2011-02-17,12287.72,12318.14
2011-02-16,12219.79,12288.17
2011-02-15,12266.75,12226.64
2011-02-14,12266.83,12268.19
2011-02-11,12227.78,12273.26
2011-02-10,12239.66,12229.29
2011-02-09,12229.29,12239.89
2011-02-08,12152.7,12233.15
2011-02-07,12092.38,12161.63
2011-02-04,12061.73,12092.15
2011-02-03,12040.68,12062.26
2011-02-02,12038.27,12041.97
2011-02-01,11892.5,12040.16
2011-01-31,11824.39,11891.93
2011-01-28,11990.36,11823.7
2011-01-27,11985.36,11989.83
2011-01-26,11978.85,11985.44
2011-01-25,11980.52,11977.19
2011-01-24,11873.43,11980.52
2011-01-21,11822.95,11871.84
2011-01-20,11823.7,11822.8
2011-01-19,11834.21,11825.29
2011-01-18,11783.82,11837.93
2011-01-14,11732.13,11787.38
2011-01-13,11753.7,11731.9
2011-01-12,11673.62,11755.44
2011-01-11,11638.51,11671.88
2011-01-10,11672.34,11637.45
2011-01-07,11696.86,11674.76
2011-01-06,11716.93,11697.31
2011-01-05,11688.61,11722.89
2011-01-04,11670.9,11691.18
2011-01-03,11577.43,11670.75
2010-12-31,11569.33,11577.51
2010-12-30,11585.38,11569.71
2010-12-29,11572.74,11585.38
2010-12-28,11554.8,11575.54
2010-12-27,11572.81,11555.03
2010-12-23,11559.11,11573.49
2010-12-22,11532.17,11559.49
2010-12-21,11478.36,11533.16
2010-12-20,11491.3,11478.13
2010-12-17,11499.02,11491.91
2010-12-16,11457.93,11499.25
2010-12-15,11475.64,11457.47
2010-12-14,11429.24,11476.54
2010-12-13,11406.16,11428.56
2010-12-10,11370.06,11410.32
2010-12-09,11370.44,11370.06
2010-12-08,11354.45,11372.48
2010-12-07,11363.85,11359.16
2010-12-06,11381.33,11362.19
2010-12-03,11361.88,11382.09
2010-12-02,11255.93,11362.41
2010-12-01,11007.23,11255.78
2010-11-30,11049.72,11006.02
2010-11-29,11083.75,11052.49
2010-11-26,11183.5,11091.87
2010-11-24,11037.35,11187.28
2010-11-23,11177.6,11036.37
2010-11-22,11201.66,11178.58
2010-11-19,11180.77,11203.55
2010-11-18,11010.49,11181.23
2010-11-17,11017.83,11007.88
2010-11-16,11194.7,11023.5
2010-11-15,11194.02,11201.97
2010-11-12,11281.28,11192.58
2010-11-11,11326.69,11283.1
2010-11-10,11342.81,11357.04
